	logFC	logCPM	F	PValue	FDR
Tatro_007830-T1	-0.865608216899982	6.66320308050592	30.5022801684735	1.55437027403818e-05	0.00124793727715637
Tatro_005912-T1	-1.21089432230378	5.1229529059008	30.4262043334966	1.57992962496177e-05	0.00125723249448285
Tatro_004070-T1	-1.50588789611195	1.77415745345376	30.0492677390306	1.71353718178278e-05	0.00135159002970094
Tatro_001640-T1	-1.91958162250214	3.31129875526066	29.3788766557868	1.98273692888177e-05	0.00152829690259174
Tatro_008026-T1	-1.01991029095128	10.3838105364488	29.3655117510342	1.98855357654842e-05	0.00152829690259174
Tatro_006512-T1	-2.65764901580551	3.74619411335645	29.3150554514786	2.01068184977672e-05	0.00153220772823663
Tatro_000433-T1	-1.56002785403711	4.36529609746291	29.0384555294241	2.13687314775459e-05	0.00161468599534532
Tatro_010940-T1	-0.612197671076441	6.76435910560646	29.000458985679	2.15487435493293e-05	0.00161471918329641
Tatro_009484-T1	-1.0661202038785	4.98711809076199	28.8875793064415	2.20933741356633e-05	0.0016418481010569
Tatro_002163-T1	-2.69753716162118	2.18839729389951	28.7371950389886	2.28424780811586e-05	0.00167010618060899
Tatro_003544-T1	-0.656550040517176	9.82093660755263	28.7366799323576	2.28450912160704e-05	0.00167010618060899
Tatro_011586-T1	-1.20962762541664	5.27839578669749	28.4716625967637	2.42339005130896e-05	0.00172945423344208
Tatro_002403-T1	-3.97073962133183	2.03047111146771	28.3417293060086	2.49483226687142e-05	0.0017664198223392
Tatro_003291-T1	-1.25121679429799	6.89562149250062	28.2958874116819	2.52058491134161e-05	0.00177071090021748
Tatro_006821-T1	-1.77140563012633	1.39167376047867	28.2578804500724	2.54215660181805e-05	0.00177202109794945
Tatro_002331-T1	-2.05301728827226	4.45913361575149	28.1547208810423	2.60173151273367e-05	0.00179959767403855
Tatro_008806-T1	-0.825959999794377	9.21920987461424	27.4559813553098	3.04778569337889e-05	0.00203005103369356
Tatro_005602-T1	-0.759476630582964	6.82670091486759	26.8215131384233	3.52598263294929e-05	0.00229750984315072
Tatro_007753-T1	-0.747582489690616	5.2564877388953	26.7399588487409	3.59318238180295e-05	0.00232445294799799
Tatro_004113-T1	-0.66017918098226	5.69877513745931	26.5093109729323	3.79093581407966e-05	0.00239602335981591
Tatro_001130-T1	-1.365429518954	4.98655745865043	26.4873215327154	3.81040191785671e-05	0.00239602335981591
Tatro_004016-T1	-0.638388432105158	10.2119277503536	26.327326109651	3.95537338491129e-05	0.00245287706738775
Tatro_004692-T1	-0.889697868369106	4.72602247025796	26.1833254689947	4.0910213073491e-05	0.00250483683914828
Tatro_009258-T1	-0.996579685188697	8.46821529397411	26.179312788567	4.09487339140121e-05	0.00250483683914828
Tatro_003217-T1	-0.701822676356308	5.93679158291953	26.0551815476764	4.21601861904421e-05	0.00255767616079496
Tatro_004344-T1	-1.00357754104226	4.92146622559458	25.7117282810552	4.57212674821443e-05	0.00274083758132961
Tatro_001556-T1	-2.11978665459238	4.31248569508097	25.3627532609993	4.96794762433906e-05	0.00289376182454804
Tatro_001410-T1	-0.869153785293789	3.6937441378627	25.3199021727033	5.01908051857322e-05	0.00289376182454804
Tatro_002178-T1	-0.697475861353205	8.31243256596309	25.2223002064037	5.137708449314e-05	0.00292394141621718
Tatro_003826-T1	-2.49933720366176	2.95190481517424	25.1494222236644	5.22828620161464e-05	0.00295677669968043
Tatro_005619-T1	-0.706726367636398	8.08056184926129	25.0724823840726	5.32581196364218e-05	0.00298596226935293
Tatro_007904-T1	-4.18088494926666	0.0554002923068906	25.0307712504429	5.37951387494634e-05	0.00298596226935293
Tatro_009520-T1	-0.643169121839795	5.24341004971359	24.9727919127783	5.45514715468108e-05	0.0030093670683983
Tatro_007034-T1	-0.734783867117358	5.7344744517269	24.904717517103	5.54543754325793e-05	0.00304052282859605
Tatro_005841-T1	-1.39038974618204	3.40596575076225	24.862515938769	5.60223175688215e-05	0.00305304654290208
Tatro_002947-T1	-0.694081686488183	8.17099282711697	24.7961296972654	5.69286545087801e-05	0.00308374976712621
Tatro_004008-T1	-1.08560683105575	4.34872001416266	24.40905267687	6.25433014788514e-05	0.00326970562149902
Tatro_008849-T1	-1.22984746780404	6.56207291518092	24.3153099369126	6.39924158475502e-05	0.00330962802686689
Tatro_007566-T1	-1.12334892032174	6.12983160048185	24.2501716877184	6.50209691933423e-05	0.0033248292176216
Tatro_004057-T1	-1.06522578464215	5.16817335312911	24.2212448926978	6.54835207118083e-05	0.0033248292176216
Tatro_006747-T1	-0.731126145169566	6.15294754270541	24.2154663393979	6.55763529610713e-05	0.0033248292176216
Tatro_005133-T1	-0.721628005987038	6.75199797824692	24.0711694310566	6.79418120847596e-05	0.00340373594719905
Tatro_009785-T1	-0.976642116736072	6.17116481420203	24.0596113487887	6.81352836405504e-05	0.00340373594719905
Tatro_004848-T1	-1.53461735015711	9.9207655616354	23.869284091518	7.14094385347937e-05	0.0034897482136134
Tatro_001768-T1	-0.692857263407107	4.73739980903185	23.7390745685602	7.37484386456644e-05	0.00358457275838819
Tatro_000952-T1	-2.3129541878024	3.82960289815536	23.6610226547199	7.51906175389276e-05	0.00363502168231203
Tatro_008779-T1	-0.997671646132118	3.37299433680227	23.618663909819	7.5986184410466e-05	0.00364113764972266
Tatro_009459-T1	-0.643945552922752	6.99854001799849	23.5239160442998	7.77992567918727e-05	0.00369668001865235
Tatro_003491-T1	-0.884512772373761	3.97736134628086	23.4938772606152	7.83839140247231e-05	0.00369668001865235
Tatro_010637-T1	-0.733897307784563	7.01867842247367	23.486840785726	7.85215617840969e-05	0.00369668001865235
Tatro_009014-T1	-1.40913366867217	2.25475659018806	23.417788774561	7.98864831094744e-05	0.00372196505761862
Tatro_000092-T1	-0.771341217581116	7.42960630448285	23.0824192184016	8.68954862448114e-05	0.00402765057893476
Tatro_006300-T1	-0.745765320705359	6.12732189160914	23.0251601721983	8.81580893880385e-05	0.00406521815270381
Tatro_008385-T1	-0.855889539680439	5.42467911321895	22.892551117695	9.11600011643236e-05	0.00418219760443672
Tatro_011587-T1	-1.32782858226803	4.35198238066056	22.8485293323057	9.21811270580684e-05	0.00420757712947285
Tatro_002485-T1	-1.03598911118018	7.47327806694802	22.7130553850121	9.54029222197917e-05	0.00431086973166014
Tatro_006475-T1	-0.828778945202923	6.36691623741924	22.6899187944913	9.59653701784338e-05	0.00431460304322238
Tatro_005907-T1	-0.78091214555042	8.7946170162998	22.5423884363254	9.96382984147959e-05	0.00440830282082082
Tatro_010685-T1	-0.622293299264698	7.47243660205828	22.5334312215496	9.98662004922291e-05	0.00440830282082082
Tatro_007242-T1	-0.764063322001013	9.50196165742448	22.5309858878486	9.99285172131557e-05	0.00440830282082082
Tatro_008474-T1	-0.6830645760869	8.48545498410654	22.3804700856252	0.000103847432997759	0.00453299086172743
Tatro_006170-T1	-0.842608278533677	5.97334681038829	22.1323608007479	0.000110679622149752	0.0047516578547803
Tatro_002681-T1	-2.00354803654206	3.75767367212829	22.1275700569011	0.000110816295772443	0.0047516578547803
Tatro_006414-T1	-4.54626514692151	0.575246458396922	21.8771689003158	0.000118223701789631	0.00501446946458661
Tatro_007824-T1	-0.584034120206442	6.63319187182524	21.7782180531706	0.000121298877438408	0.00512074885411344
Tatro_003167-T1	-2.00327770975978	3.39584309302803	21.717822889114	0.000123218792537242	0.00517749244156486
Tatro_003841-T1	-0.597550617520012	5.8254901179359	21.5935413149696	0.000127275121724426	0.00527399951403704
Tatro_002376-T1	-0.902673106578584	5.05669028735968	21.3193344233796	0.000136751658725697	0.00561493568612542
Tatro_010362-T1	-1.14818758556754	5.16760878952981	21.2686076379662	0.000138588039144515	0.00563884003614242
Tatro_003816-T1	-1.71332776595206	5.76076005996559	21.2213527116581	0.000140323044567822	0.00568371539078312
Tatro_003623-T1	-0.762635109784638	5.31492236250949	21.1600803340512	0.000142608214229439	0.00574706971498608
Tatro_011400-T1	-1.41839397768482	2.72532208615082	20.9883666166257	0.000149232292358482	0.00591143952813862
Tatro_007758-T1	-0.595486346540928	7.20855754596506	20.9091675517473	0.000152400401346187	0.00598394107550588
Tatro_002522-T1	-0.973276334913762	3.58513418159635	20.8929299162012	0.000153058991032735	0.00598394107550588
Tatro_011166-T1	-0.667187674861279	3.85712853295281	20.8095054884545	0.000156492142923197	0.00603938776465833
Tatro_000347-T1	-0.570423824572386	6.24930400053059	20.7904569806851	0.000157287811381732	0.00604415384591681
Tatro_004328-T1	-1.00674631415015	6.01302186665667	20.774039012556	0.000157977155392879	0.00604426311566498
Tatro_005087-T1	-0.600029328058254	10.2839541013428	20.7524139160427	0.000158890184923822	0.00604426311566498
Tatro_001047-T1	-0.787959297893395	5.29983922139908	20.7425820956093	0.000159307201780761	0.00604426311566498
Tatro_002521-T1	-1.02915931055459	4.86870173601863	20.7252596782074	0.000160044851204125	0.00604673656314074
Tatro_003592-T1	-0.919867030828532	7.88219833458985	20.7002148350004	0.000161117969307558	0.00606181079503583
Tatro_006312-T1	-0.648943513032945	6.72485960218484	20.6685821724839	0.000162484636074989	0.00608775769827624
Tatro_008346-T1	-1.09439003706935	6.69314194802559	20.6382742174577	0.000163805984791205	0.00611179840349593
Tatro_000944-T1	-1.39028081955698	4.5934948768962	20.5626420154678	0.00016715495698989	0.00621098088121113
Tatro_010028-T1	-0.886263293650062	5.63529484655285	20.4193014332654	0.000173709629079542	0.00637549789666631
Tatro_002140-T1	-1.22953295736954	8.73775286068315	20.3704601287041	0.000176006917147021	0.00642357592893842
Tatro_004534-T1	-0.943436313960389	4.50731090978021	20.3540379940699	0.000176786801805676	0.00642357592893842
Tatro_007492-T1	-0.803251237570736	4.20983150921837	20.3332031161472	0.000177781697728698	0.00642357592893842
Tatro_009218-T1	-0.716775267013944	4.31188174283258	20.3223091646072	0.000178304339546916	0.00642357592893842
Tatro_009673-T1	-0.913415431061581	7.17529826584033	20.2544933169104	0.00018159591186875	0.00647980333144365
Tatro_005056-T1	-0.787080439035503	6.44254192454649	20.1763262461597	0.000185472688151705	0.00653363124820498
Tatro_003584-T1	-0.689552000447915	7.6008038830906	20.1656168482385	0.000186010854041423	0.00653363124820498
Tatro_008221-T1	-1.49350704866575	6.49083911042681	20.116259872308	0.000188513327817513	0.00658618860871315
Tatro_005971-T1	-0.757695741408286	6.12897342994035	20.0802698312612	0.000190361317254928	0.00660899214191625
Tatro_005922-T1	-0.851974280737532	4.78556702148848	19.8541171831335	0.000202437554006099	0.00697440032805686
Tatro_010482-T1	-0.961120302871285	4.50200234773961	19.8009117581783	0.000205398992920342	0.00702261499748942
Tatro_001873-T1	-0.706493961008078	6.50366773957274	19.5135073162418	0.00022223899580795	0.0074845432595696
Tatro_011424-T1	-1.88142859792063	6.32294850466355	19.4110326413594	0.000228604396087613	0.00767018928962617
Tatro_010530-T1	-0.713014799611263	9.00541279565727	19.383466591579	0.000230350608122449	0.00770004709381806
Tatro_003545-T1	-0.662239214399778	10.1824544657605	19.3348415641442	0.000233466556339409	0.007768294470575
Tatro_002584-T1	-1.35512490646012	3.92814570642587	19.1537229431312	0.000245485645249644	0.00805622964264525
Tatro_002804-T1	-1.45246831318417	5.93702084190057	19.0820939599402	0.000250424632004411	0.00816446434554845
Tatro_009519-T1	-0.639140079761044	6.42722977869426	19.0795840061773	0.000250599661851798	0.00816446434554845
Tatro_000773-T1	-1.38772148689311	3.12714599315211	18.9748835831351	0.000258021628913726	0.0083158798824094
Tatro_002770-T1	-1.91697559488411	1.58784000057164	18.9556022420653	0.000259414518114931	0.00833091195317664
Tatro_005012-T1	-0.838336396874622	10.1431436710186	18.8824200290686	0.000264776674691351	0.00846338428321512
Tatro_003341-T1	-0.952717243735118	8.44955687719157	18.857054792074	0.00026666345961734	0.00846338428321512
Tatro_011585-T1	-0.837767401253136	5.08091747210537	18.8484829811342	0.000267304396845318	0.00846338428321512
Tatro_011562-T1	-0.884333416222088	7.27997123736398	18.6765919130002	0.000280520060036373	0.00881970762184289
Tatro_000531-T1	-0.859216992944307	6.83195988543714	18.5432776222959	0.000291262842863151	0.00906240651565901
Tatro_005539-T1	-0.57219038859664	5.88224033875329	18.4640313683692	0.000297861770679248	0.00922235485765483
Tatro_002789-T1	-0.875692902517983	8.43932906485441	18.4570044829649	0.000298454766856935	0.00922235485765483
Tatro_003627-T1	-0.780343323266722	8.40180255700555	18.421371226495	0.000301481822502955	0.00928398817789921
Tatro_011766-T1	-1.43940997184132	3.12920702245525	18.1862695493156	0.000322317114933465	0.00982466270332784
Tatro_005482-T1	-0.960789395801176	8.74687321698282	18.1474819562893	0.000325903791502992	0.00990042869322602
Tatro_010483-T1	-1.01526494100721	3.22211941029695	18.102308866475	0.000330136158572223	0.00994044586437665
Tatro_004975-T1	-0.811016766050088	4.79434449853121	18.0903449749927	0.000331267144518751	0.00994044586437665
Tatro_003935-T1	-0.655955947610563	7.70877421905471	18.0863790881792	0.000331642989247441	0.00994044586437665
Tatro_002728-T1	-1.70541808543086	5.38382861126735	17.8590533333573	0.000353987888430064	0.0105051455206704
Tatro_005399-T1	-0.823747440658917	9.06167771220396	17.7133416241662	0.000369175618085998	0.0108840234682928
Tatro_001176-T1	-0.771459940462809	3.87273194593589	17.6749814747152	0.000373291712658286	0.0109694087588997
Tatro_004797-T1	-4.40163160313871	0.318242448516227	19.1419404955602	0.000374877176943897	0.0109801158797378
Tatro_002030-T1	-1.06314535822269	7.3067068248767	17.6074314779588	0.000380662726950686	0.0110936669162141
Tatro_003229-T1	-0.761941947033086	5.56231875267209	17.6023699517774	0.000381221427614563	0.0110936669162141
Tatro_008698-T1	-0.708301082920684	4.64720620594348	17.5530807289362	0.000386709299378514	0.0111809968489119
Tatro_004909-T1	-0.748259814780783	7.81939568006154	17.4052214601281	0.000403698163523828	0.0115377215860899
Tatro_003244-T1	-0.730083027251392	10.9764493324918	17.4011319318045	0.000404179526203107	0.0115377215860899
Tatro_009973-T1	-1.30733364234467	4.07287599448948	17.3183807822936	0.000414056265414447	0.0117081570396437
Tatro_001739-T1	-0.794557080348824	8.6106977260021	17.2636734223806	0.000420730971913708	0.011798261145893
Tatro_005304-T1	-0.606385410141074	5.89399843139491	16.971439655914	0.000458443384973324	0.0126064921029973
Tatro_000873-T1	-1.57770562127505	4.60224430338978	16.8289775624889	0.000478159038392268	0.0130687114687637
Tatro_000916-T1	-0.586501294414421	8.62571158279369	16.8037283882665	0.000481749358501541	0.013086999358698
Tatro_011715-T1	-0.751285863912608	7.24439781029698	16.7290253844947	0.000492546017840331	0.0131423554671224
Tatro_007706-T1	-0.851431815400753	5.70984492979496	16.6476071297531	0.000504616247981894	0.0134245837332935
Tatro_003350-T1	-0.603891226076392	10.8013020431682	16.6190571342792	0.000508925274346502	0.0134382534622269
Tatro_011393-T1	-1.44174055739708	1.37964506942289	16.5999225243348	0.00051183581879086	0.0134382534622269
Tatro_011407-T1	-1.74000484767053	2.54594416234694	16.565517948849	0.000517115079415174	0.0135171476572711
Tatro_006995-T1	-0.593624209540694	5.12068432711785	16.4417858824969	0.000536600600844461	0.0139858336312852
Tatro_006703-T1	-0.997950292604665	3.86445156970458	16.399090061136	0.000543510109706717	0.0140438014554103
Tatro_005882-T1	-0.841722897063109	5.39533943503119	16.3174172188039	0.00055700073294745	0.0143101445447528
Tatro_011383-T1	-0.619142990893676	5.83020376512414	16.2997595368832	0.000559965428752821	0.0143453251719241
Tatro_007991-T1	-1.56810409293807	3.56700439190797	16.122162578275	0.000590765193777973	0.0148384374928814
Tatro_011520-T1	-0.871125891123557	7.19351047730221	16.0258190552562	0.000608247318927022	0.0151926663660883
Tatro_005943-T1	-1.26155366360762	4.87480509292119	16.0025945804713	0.000612545905600929	0.0152155049258662
Tatro_001520-T1	-1.34591659339051	3.64339304276698	15.9799947544748	0.000616760882702168	0.0152779996067711
Tatro_006702-T1	-1.12531784439661	4.16343631062711	15.9394217202499	0.000624407995420658	0.0153826758762262
Tatro_010616-T1	-0.820954670349403	5.61435222432743	15.9192701691847	0.000628244716458529	0.0154349084437024
Tatro_000022-T1	-0.785782433705369	3.85684257140971	15.7036084006605	0.000670964569709797	0.0162185844377164
Tatro_011774-T1	-0.655096456849047	8.70176346502729	15.6332003784975	0.000685593639676	0.0163340677611679
Tatro_010908-T1	-0.954946618172787	4.48213283232297	15.6110207735814	0.000690274215885652	0.0163340677611679
Tatro_000890-T1	-3.112386101939	2.10000453622918	15.5171945663112	0.000710465903413304	0.016680181210163
Tatro_007988-T1	-2.42919338637866	0.626876231460874	15.4725389877365	0.000720302766846298	0.0167554068702992
Tatro_000001-T1	-3.17824584561686	2.72653123710959	15.4176634549026	0.000732596072170089	0.0169781027859625
Tatro_003801-T1	-0.880848198529893	2.54507558479635	15.3904517992767	0.000738777292395622	0.0170335523415934
Tatro_000354-T1	-1.48959625544057	1.56671463648438	15.3673923587309	0.000744060124998778	0.0170678281734414
Tatro_002639-T1	-0.907239413936924	6.05972724450449	15.3265175538629	0.000753526532761623	0.017110380259072
Tatro_006115-T1	-1.4502674080117	2.64892027422934	15.3003016861598	0.000759667514348537	0.0171542186395327
Tatro_009980-T1	-0.788932990754512	5.73914523844708	15.2522697712263	0.000771061797937692	0.0173334692176393
Tatro_009514-T1	-0.828558962064203	5.04098189220253	15.2291754970741	0.000776606940672162	0.0174145875574167
Tatro_011787-T1	-2.70189922495306	0.173614817891038	15.0912495742981	0.000810648970009543	0.017909964467631
Tatro_011843-T1	-0.659660168460351	7.7980620223666	14.9892943764098	0.000836865193232671	0.0183987575001178
Tatro_007687-T1	-0.655322990195909	6.43648554243487	14.9468813372514	0.000848043894201189	0.0185990504796514
Tatro_000243-T1	-0.953946900568281	7.55635060503417	14.9037063568066	0.00085959196323038	0.0187608032363291
Tatro_007194-T1	-0.694773820003095	6.78088702218743	14.7971308584234	0.000888843532169636	0.01925899046089
Tatro_000311-T1	-1.20956302195593	2.351325066124	14.7738134574458	0.000895388024375516	0.0193400065687653
Tatro_001564-T1	-1.81353952740704	5.23082924477137	14.7194116883165	0.000910863549393233	0.0195028288379487
Tatro_009499-T1	-1.01913481395646	3.93518369980458	14.7185132969918	0.000911121563909218	0.0195028288379487
Tatro_005154-T1	-0.616164624050496	6.62998224451579	14.6698624000072	0.000925214432381048	0.0196215287169113
Tatro_003759-T1	-0.853687758222244	4.04081944653228	14.6304617115594	0.000936803165644697	0.019681621648311
Tatro_000287-T1	-0.887389881388856	6.86901552023838	14.539046889594	0.000964309031194537	0.0200719139085678
Tatro_001325-T1	-1.01242721210423	5.7196465593765	14.4676168353547	0.000986418840940563	0.0203905246384771
Tatro_000355-T1	-1.40913964594735	3.5786504969844	14.3791874360358	0.00101456477486884	0.0209176370309631
Tatro_011637-T1	-0.729201354848609	5.19989927342818	14.3569500331504	0.00102178059597831	0.0209290458292414
Tatro_005016-T1	-0.713378716510612	9.68318128098334	14.3249496355324	0.00103226347957749	0.0210156333313847
Tatro_006625-T1	-1.1103852473688	3.47639965081238	14.2896753092253	0.00104395585925965	0.0211901830394193
Tatro_002694-T1	-0.775161874329642	5.44619785942793	14.2523795621162	0.00105647663232314	0.0213479502873025
Tatro_000880-T1	-1.90095514601115	5.31556081958542	14.2390398141465	0.00106099495195836	0.0213911807354474
Tatro_005172-T1	-0.642790937744578	4.96082706555505	14.2283186213325	0.00106464171696089	0.0214166852772088
Tatro_003279-T1	-0.934131826872149	5.80857939920389	14.1347320920406	0.00109706556085843	0.02192180782942
